#  H2 facteur FC   EF et X non couplé                                                         
#  VU JU VL JL      FC       TR.E.(cm-1)                                                
#       6320
  2  3  1  3  0.964608E-06  95800.10
  2  3  2  3  0.124763E-06  91908.81
  2  3  3  3  0.327146E-06  88247.37
  2  3  4  3  0.224331E-05  84813.24
  2  3  5  3  0.847772E-05  81605.50
  2  3  6  3  0.468090E-04  78625.93
  2  3  7  3  0.366414E-03  75878.98
  2  3  8  3  0.299380E-02  73372.53
  2  3  9  3  0.199793E-01  71118.57
  2  3 10  3  0.868736E-01  69134.55
  2  3 11  3  0.163702E+00  67444.96
  2  3 12  3  0.100434E-01  66084.09
  2  3 13  3  0.428184E+00  65100.21
  2  3 14  3  0.522407E-01  64563.59
  2  4  0  4  0.702678E-06  99510.56
  2  4  1  4  0.983404E-06  95407.98
  2  4  2  4  0.216808E-06  91539.48
  2  4  3  4  0.154355E-06  87900.56
  2  4  4  4  0.178596E-05  84488.68
  2  4  5  4  0.822545E-05  81303.35
  2  4  6  4  0.507489E-04  78346.49
  2  4  7  4  0.415686E-03  75622.98
  2  4  8  4  0.342933E-02  73140.90
  2  4  9  4  0.226073E-01  70912.92
  2  4 10  4  0.947190E-01  68957.19
  2  4 11  4  0.161421E+00  67299.24
  2  4 12  4  0.179166E-02  65975.01
  2  4 13  4  0.486726E+00  65035.87
  2  5  0  5  0.767064E-06  98998.80
  2  5  1  5  0.124224E-05  94925.06
  2  5  2  5  0.451088E-06  91084.86
  2  5  3  5  0.268312E-07  87473.74
  2  5  4  5  0.135371E-05  84089.53
  2  5  5  5  0.813335E-05  80931.98
  2  5  6  5  0.567728E-04  78003.40
  2  5  7  5  0.487955E-03  75308.91
  2  5  8  5  0.405997E-02  72857.29
  2  5  9  5  0.262971E-01  70661.79
  2  5 10  5  0.104806E+00  68741.51
  2  5 11  5  0.155140E+00  67123.41
  2  5 12  5  0.135269E-02  65845.73
  2  5 13  5  0.534429E+00  64964.07
  2  6  0  6  0.142738E-05  98395.68
  2  6  1  6  0.272888E-05  94356.16
  2  6  2  6  0.156645E-05  90549.24
  2  6  3  6  0.875366E-07  86971.26
  2  6  4  6  0.808592E-06  83620.08
  2  6  5  6  0.811090E-05  80495.67
  2  6  6  6  0.656820E-04  77600.67
  2  6  7  6  0.593075E-03  74940.90
  2  6  8  6  0.496316E-02  72525.74
  2  6  9  6  0.313711E-01  70369.23
  2  6 10  6  0.117073E+00  68491.68
  2  6 11  6  0.142295E+00  66921.90
  2  6 12  6  0.196769E-01  65701.02
  2  6 13  6  0.536976E+00  64891.41
  2  7  0  7  0.392730E-03  97705.99
  2  7  1  7  0.901249E-03  93706.12
  2  7  2  7  0.786798E-03  89937.88
  2  7  3  7  0.325745E-03  86398.10
  2  7  4  7  0.571367E-04  83084.80
  2  7  5  7  0.193974E-07  79998.62
  2  7  6  7  0.679072E-04  77142.61
  2  7  7  7  0.738261E-03  74523.12
  2  7  8  7  0.623246E-02  72150.42
  2  7  9  7  0.381529E-01  70039.42
  2  7 10  7  0.130743E+00  68212.10
  2  7 11  7  0.119817E+00  66699.50
  2  7 12  7  0.724322E-01  65546.95
  2  7 13  7  0.445553E+00  64826.71
  2  8  0  8  0.152822E+00  97292.77
  2  8  1  8  0.355553E+00  93336.73
  2  8  2  8  0.317472E+00  89612.38
  2  8  3  8  0.138930E+00  86115.62
  2  8  4  8  0.314324E-01  82845.44
  2  8  5  8  0.357003E-02  79802.36
  2  8  6  8  0.194909E-03  76990.60
  2  8  7  8  0.873001E-05  74416.84
  2  8  8  8  0.233854E-05  72092.42
  2  8  9  8  0.892614E-06  70033.71
  2  8 10  8  0.132420E-06  68264.07
  2  8 11  8  0.201762E-05  66818.22
  2  8 12  8  0.385308E-06  65746.49
  2  9  0  9  0.151340E+00  96855.94
  2  9  1  9  0.354431E+00  92949.63
  2  9  2  9  0.318414E+00  89273.11
  2  9  3  9  0.140074E+00  85824.08
  2  9  4  9  0.318261E-01  82601.48
  2  9  5  9  0.364255E-02  79606.70
  2  9  6  9  0.210772E-03  76844.24
  2  9  7  9  0.144949E-04  74321.87
  2  9  8  9  0.807056E-05  72051.83
  2  9  9  9  0.707801E-05  70052.02
  2  9 10  9  0.110843E-05  68348.51
  2  9 11  9  0.214932E-05  66979.27
  2  9 12  9  0.203391E-06  66003.30
  2 10  0 10  0.176049E-03  96309.67
  2 10  1 10  0.432308E-03  92456.69
  2 10  2 10  0.425209E-03  88833.06
  2 10  3 10  0.236283E-03  85436.46
  2 10  4 10  0.120148E-03  82266.03
  2 10  5 10  0.169968E-03  79324.27
  2 10  6 10  0.866533E-03  76616.13
  2 10  7 10  0.597863E-02  74150.37
  2 10  8 10  0.326903E-01  71940.68
  2 10  9 10  0.100696E+00  70006.96
  2 10 10 10  0.862971E-01  68377.80
  2 10 11 10  0.677436E-02  67096.85
  2 10 12 10  0.764159E-02  66235.88
  2 11  0 11  0.157218E-05  95334.35
  2 11  1 11  0.497548E-05  91539.26
  2 11  2 11  0.784828E-05  87972.80
  2 11  3 11  0.112409E-04  84632.55
  2 11  4 11  0.276537E-04  81518.90
  2 11  5 11  0.145011E-03  78634.70
  2 11  6 11  0.109603E-02  75985.78
  2 11  7 11  0.796562E-02  73582.27
  2 11  8 11  0.417502E-01  71439.34
  2 11  9 11  0.111965E+00  69578.73
  2 11 10 11  0.598924E-01  68033.68
  2 11 11 11  0.205485E-01  66854.23
  2 12  0 12  0.224402E-06  94304.25
  2 12  1 12  0.918664E-06  90571.42
  2 12  2 12  0.219524E-05  87065.71
  2 12  3 12  0.571312E-05  83786.08
  2 12  4 12  0.248838E-04  80733.38
  2 12  5 12  0.177014E-03  77911.09
  2 12  6 12  0.148622E-02  75326.49
  2 12  7 12  0.108860E-01  72990.54
  2 12  8 12  0.534774E-01  70920.82
  2 12  9 12  0.119212E+00  69141.63
  2 12 10 12  0.297050E-01  67690.87
  2 12 11 12  0.229388E-01  66629.75
  2 13  0 13  0.567400E-07  93225.99
  2 13  1 13  0.301489E-06  89558.75
  2 13  2 13  0.105040E-05  86117.71
  2 13  3 13  0.429402E-05  82902.73
  2 13  4 13  0.269796E-04  79915.20
  2 13  5 13  0.233005E-03  77159.59
  2 13  6 13  0.209448E-02  74643.99
  2 13  7 13  0.151659E-01  72381.59
  2 13  8 13  0.681176E-01  70391.36
  2 13  9 13  0.118183E+00  68702.17
  2 13 10 13  0.609112E-02  67358.20
  2 14  0 14  0.194602E-07  92106.45
  2 14  1 14  0.134646E-06  88507.97
  2 14  2 14  0.665416E-06  85135.32
  2 14  3 14  0.394278E-05  81988.80
